artist,artist_id,album1,album2,top_track1
Owl City,07QEuhtrNmmZ0zEcqE9SF6,Coco Moon,Ocean Eyes,Fireflies
Eminem,7dGJo4pcD2V6oG8kP0tJRR,Revival,Kamikaze,Without Me
